id,제품명,제품회사,분류,성분,효능,용법,저장방법
176,쎌레덤지크림,삼성제약(주),20001120," 베타메타손발레레이트, 겐타마이신황산염"," 2차 감염된 알레르기성 또는 염증성 피부질환 : 습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진, 박탈피부염, 가려움, 건선",1일 1～3회 환부에 적당량을 바른다.,"기밀용기,실온(1~30℃)보관"
177,코판토정,삼성제약(주),일반의약품," 클로르페니라민말레산염, 염산슈도에페드린, 아세트아미노펜","감기의 제증상(콧물, 코막힘, 재채기, 인후통, 오한, 발열, 두통, 관절통, 근육통)의 완화",성인 : 4 ∼ 6시간마다 1회 1 ∼ 2정씩 복용한다. 1일 최대 8정을 초과하여 복용하지 않는다.,"기밀용기, 실온보관(1~30℃)"
178,허니플루시럽,삼성제약(주),20001216," 감초엑스, 티아민질산염, 구아이페네신, 리보플라빈, 카페인무수물, 아세트아미노펜, 길경유동엑스, 클로르페니라민말레산염, dl메틸에페드린염산염, 덱스트로메토르판브롬화수소산염수화물","감기의 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절염, 근육통)의 완화","다음의 1회 용량을 1일 3회 식후 30분 이내에 복용하며 필요한 경우 취침 시 복용한다. 원칙적으로 복용간격은 4시간으로 한다.15세 이상 30㎖11세 이상  15세 미만 20㎖7세 이상  11세 미만 15㎖3세 이상  7세 미만 10㎖2세 이상  3세 미만 7.5㎖만 2세 미만에게 투여하지 않는다. 다만, 꼭 필요한 경우 의사의 진료를 받는다.","기밀용기, 실온(1~30℃)보관"
179,에너시캡슐,삼성제약(주),일반의약품," L트레오닌, 티아민질산염, 팔미틴산레티놀, 리보플라빈, L발린, 판토텐산 칼슘, L페닐알라닌, 0.1%시아노코발라민, DL메티오닌, L류신, L리신염산염, 폴산, 제피형아스코르빈산96%TypeSC, 피리독신염산염, 니코틴산아미드, L트리프토판, 에르고칼시페롤, L이소류신, 토코페롤아세테이트","자양강장, 허약체질, 육체피로, 병중병후 발열성 소모성 질환, 임신ㆍ수유기 등의 영양보급",15세 이상 어린이 및 성인 : 1회 2캡슐을 1일 1～2회 복용한다.,DUR성분(성분1/성분2..병용성분)레티놀
180,삼성안티셀액,삼성제약(주),20000228," 시트르산수화물, 염산베타인, 베타인, L아르기닌",간질환의 보조 치료,\xa0성인 : 1일 1030mL를 식간에 분할 복용한다.이 약 10mL를 약 반 컵의 물에 희석하여 복용한다.,차광한 기밀용기
181,오스콘연질캡슐,에이프로젠제약(주),일반의약품," 질산치아민, 황산콘드로이틴나트륨, 염산피리독신, 시아노코발라민, 니코틴산아미드, 낙산리보플라빈, 감마오리자놀, 판토텐산칼슘, 초산디엘알파토코페롤"," 다음 경우의 비타민 B1,B2,B6,E의 보급","성인 및 8세 이상의 어린이: 1일 2회, 1회 1캅셀",기밀용기
182,네오마그정,에이프로젠제약(주),20000621," 락트산마그네슘수화물, 피리독신염산염", 다음경우의 비타민 B6의 보급,"만 12세 이상 및 성인 : 1회 2정, 1일 3회","밀폐용기, 실온보관(1℃30℃)"
183,기치코프에스캡슐,에이프로젠제약(주),일반의약품," 클로르페니라민말레산염, 구아이페네신, 노스카핀, dl메틸에페드린염산염, 덱스트로메토르판브롬화수소산염수화물","기침, 가래","성인(만 15세 이상) : 1일 3회, 1회 2캡슐씩 식후 복용한다.만 8세 ～ 만 14세 : 1일 3회, 1회 1캡슐씩 식후 복용한다.",DUR성분(성분1/성분2..병용성분)유당
184,기치코프엘에스캡슐,에이프로젠제약(주),20001030," 길경건조엑스(10:1), 구아이페네신, 노스카핀, 덱스트로메토르판브롬화수소산염수화물","기침, 가래","성인 1일 3회, 1회 2캅셀을 식후 30분에 복용한다.","기밀용기, 실온보관(1~30)보관. "
185,훼리돌캡슐(폴리삭카리드철착염)(수출명:SamchullyFERRIDOL),에이프로젠제약(주),일반의약품, 폴리삭카리드철착염,철 결핍성 빈혈,"(캡슐제)성인 : 철로서 1일 1회 150 ㎎을 복용한다.(시럽제)(헤모톱시럽은 제외함)연령에 따라 1일 다음 양을 복용한다. 성인 : 철로서 100 ㎎～200 ㎎ 6세 이상 : 100 ㎎(시럽제)(헤모톱시럽에 한함)연령에 따라 1일 다음 양을 복용한다. 성인 : 철로서 100 ㎎～200 ㎎ 7～12세 : 100 ㎎ 2～6세 : 50 ㎎ 2세 미만 : 25 ㎎(정제) 성인 : 철로서 1회 50～100 ㎎, 1일 2회 복용한다. 6～12세 어린이 : 1회 50 ㎎, 1일 1～2회 복용한다.",DUR성분(성분1/성분2..병용성분)유당
186,아메톡스주10%(치오황산나트륨),대한약품공업(주),20000601, 치오황산나트륨,시안 및 시안화합물에 의한 중독," 성인 시안 및 시안화합물에 의한 중독 : 티오황산나트륨수화물로서 12.5 g (10 % 용액 125 mL)을 분당 0.625 ∼ 1.25 g의 속도로 최소한 10분 이상 정맥내 투여한다. 니트로푸루시드나트륨 유발 시아나이드 중독 : 니트로푸루시드나트륨 주입속도의 5 ∼ 10배의 속도로 병용 정맥투여한다. 소아 시안 및 시안화합물에 의한 중독 : 체중 kg당 412.5 mg 또는 체표면적 m2당 7 g을 분당 0.625 ∼ 1.25 g의 속도로 정맥투여한다. 소아에 대한 제한량 : 12.5 g 시아나이드 중독이 심할 경우 특별한 해독제 조합으로 생존율이 증가할 수 있다. 성인은 아질산나트륨 300 mg(3 % 용액 10 mL), 소아는 체표면적 m2당 180 ∼ 240 mg(6 ∼ 8 mL) 또는 체중 kg당 약 6 mg(0.2 mL)을 분당 75 ∼ 150 mg(2.5 ∼ 5 mL)/min의 속도로 주입한다. 소아용량은 300 mg(10 mL)을 초과하지 않는다. 아질산나트륨 주입 후, 즉시 티오황산나트륨을 투여한다. 투여 후 2시간이 지나도 중독증상이 나타나는 경우에는 아질산나트륨과 이 약을 초기용량의 절반으로 반복투여할 수 있다.","밀봉용기, 실온보관(130도)"
187,파티마솔주,대한약품공업(주),20001124," 염화나트륨, 포도당, 젖산나트륨액, 염화칼륨"," 탈수증, 수술전후 등의 수분ㆍ전해질 보급","보통 성인 1회 500～1,000mL를 점적 정맥주사한다.투여속도는 시간당 300～500mL(분당 75～120방울)이고, 소아의 경우 시간당 50～100mL로 한다.투여량, 투여속도는 연령, 체중, 증상에 따라 적절히 증감한다.","밀봉용기, 실온(1~30℃)보관사용기간: 제조일로부터 36개월(유리용기), 수용액플라스틱용기(18개월)"
188,대한덱스트란40덱스주,대한약품공업(주),20000107," 포도당, 덱스트란40", 출혈 및 이로 인해 생기는 쇽의 치료,"보통 성인 1회 500mL를 점적 정맥주사한다. 처음 24시간 동안의 투여량은 체중 kg당 20mL를 초과하지 말아야 한다.혈전증의 예방 및 치료로서 연속투여할 때는 1일 체중 kg당 10mL를 초과하지 말아야 하고 투여기간은 5일 이내로 한다.체외순환 관류액으로 사용하는 경우에는 체중 kg당 10～20mL를 투여한다. 이때 투여량은 체중 kg당 20mL를 초과하지 말아야 한다.투여량, 투여속도는 연령, 체중, 증상에 따라 적절히 증감한다.","밀봉용기, 실온보관(130℃)"
189,에티켓민트액(벤제토늄염화물),대한약품공업(주),20000426, 벤제토늄염화물,벤제토늄염화물로서 통상 1회 적당량을 1일 2 〜 3회 사용해서 입안을 헹구어 낸다.,"벤제토늄염화물로서 통상 1회 적당량을 1일 2 〜 3회 사용해서 입안을 헹구어 낸다.단, 구강내 소독에는 이 약을 2.5배 희석하여 사용한다.","차광기밀용기,실온보관"
190,대한탄산수소나트륨8.4%주,대한약품공업(주),20000504, 탄산수소나트륨,성인 : 탄산수소나트륨으로서 1회 1～5g (12～60mEq)씩 정맥주사한다.,성인 : 탄산수소나트륨으로서 1회 1～5g (12～60mEq)씩 정맥주사한다.산증(아시도시스)에 통상용량은 일반적으로 다음 식에 의하여 산출하고 정맥주사한다.필요량(mEq)=부족염기량(Base Deficit mEq/L)×0.2×체중(kg)연령 및 증상에 따라 적절히 증감한다.,"밀봉용기, 실온(1~30℃)보관, 사용기간:제조일로부터36개월(유리),  플라스틱제수성주사제용기(18개월)"
191,갈민주(갈라민트리에치오다이드),대한약품공업(주),20000609, 갈라민트리에치오다이드,"성인 : 갈라민트리에치오다이드로서 보통 3일간 1회 1020㎎을 812시간마다 근육주사 또는 정맥주사한다. 다만, 증상이 지속될 경우에는 주의하여 동일과정을 반복할 수 있다.","성인 : 갈라민트리에치오다이드로서 보통 3일간 1회 1020㎎을 812시간마다 근육주사 또는 정맥주사한다. 다만, 증상이 지속될 경우에는 주의하여 동일과정을 반복할 수 있다.연령, 증상에 따라 적절히 증감한다.",차광밀봉용기 실온(1~30℃)보관
192,시네파주(말레인산시네파짓),대한약품공업(주),20000609, 말레인산시네파짓,"성인 : 말레인산시네파짓으로서 1일 160㎎을 정맥, 근육 또는 동맥주사하거나 1일 320㎎을 생리식염","성인 : 말레인산시네파짓으로서 1일 160㎎을 정맥, 근육 또는 동맥주사하거나 1일 320㎎을 생리식염주사액 또는 포도당주사액 500㎖에 희석시켜 점적 정맥주사한다.연령, 증상에 따라 적절히 증감한다.","밀봉용기,실온(1~30℃)보관"
193,아메톡스주25%(치오황산나트륨),대한약품공업(주),20000616, 치오황산나트륨, 시안 및 시안화합물에 의한 중독," 성인 시안 및 시안화합물에 의한 중독 : 티오황산나트륨수화물로서 12.5 g (25 % 용액 50 mL)을 분당 0.625 ∼ 1.25 g의 속도로 최소한 10분 이상 정맥내 투여한다. 니트로푸루시드나트륨 유발 시아나이드 중독 : 니트로푸루시드나트륨 주입속도의 5 ∼ 10배의 속도로 병용정맥투여한다. 시스플라틴 유발 신독성 예방 : 표준용량이 설정되어 있지는 않으나 초회투여량으로 체표면적 m2당 티오황산나트륨 4 g을 시스플라틴 투여 바로전에 정맥주사하고 그 후에 시스플라틴 초기투여와 동시에 체표면적 m2당 12 g을 정맥내로 주입하기 시작해서 6시간에 걸쳐 투여한다. 소아 시안 및 시안화합물에 의한 중독 : 체중 kg당 412.5 mg 또는 체표면적 m2당 7 g을 분당 0.625 ∼ 1.25 g의 속도로 정맥투여한다. 소아에 대한 제한량 : 12.5 g 시아나이드 중독이 심할 경우 특별한 해독제 조합으로 생존율이 증가할 수 있다. 성인은 아질산나트륨 300 mg(3 % 용액 10 mL), 소아는 체표면적당 180 ∼ 240 mg(6 ∼ 8 mL) 또는 체중 kg당 약 6 mg(0.2 mL)을 분당 75 ∼ 150 mg(2.5 ∼ 5 mL)/min의 속도로 주입한다. 소아용량은 300 mg(10 mL)을 초과하지 않는다. 아질산나트륨 주입 후, 즉시 티오황산나트륨을 투여한다. 투여 후 2시간이 지나도 중독증상이 나타나는 경우에는 아질산나트륨과 이 약을 초기용량의 절반으로 반복투여할 수 있다.","밀봉용기, 실온(1~30℃)보관"
194,대한헤파린나트륨주1000단위,대한약품공업(주),20001218, 헤파린나트륨,"1) 수혈, 체외순환, 투석 시 또는 실험실에서의 혈액응고 방지","보통 정맥 내에 주사하거나 혈액 체외순환시의 관류혈액에 첨가하여 사용한다.투여직후에 효과가 나타나지만 헤파린 감수성은 개체차가 크므로 투여 전에 헤파린 감수성 시험을 실시하고, 투여 후에는 혈액응고시간을 측정하여 유지량으로 결정한다.보통 사용 후 혈액응고시간을 15 ～ 20분 또는 그 이상으로 유지되도록 하나 증례 또는 적응영역, 목적에 따라 투여량을 결정한다.1. 체외순환1) 인공신장(1) 전신헤파린화법 : 투석개시 전에 헤파린나트륨으로서 1,000 ～ 5,000 IU를 투여하고, 투석개시 후에는 시간당 500 ～ 1,500 IU를 지속적으로 또는 1시간마다 500 ～ 1,500 IU를 간헐적으로 추가 투여한다.(2) 국소헤파린화법 : 이 약으로서 시간당 1,500 ～ 2,500 IU를 지속적으로 투여하고, 체내관류 시에는 프로타민황산염으로 중화한다.2) 인공심폐에 의한 혈액관류: 이 약으로서 체중 kg당 150 ～ 300 IU를 투여하고, 체외순환시간의 연장과 함께 필요에 따라 적절히 추가한다. 체외순환 후에는 수술 후 출혈을 예방하고 헤파린 작용을 중화시키기 위하여 프로타민황산염을 사용한다.2. 정맥내 점적주사이 약으로서 10,000 ～ 30,000 IU를 5 % 포도당 주사액, 생리식염 주사액, 또는 링겔액 1,000 mL에 용해하여 분당 30방울 전후의 속도로 주사하고, 전혈응고시간이 투여전의 2 ～ 3배가 되면 분당 20방울 전후의 속도로 점적 주사한다.3. 정맥내 간헐주사이 약으로서 5,000 ～ 10,000 IU를 4 ～ 8시간마다 정맥주사한다. 투여개시 3시간 후부터 2 ～ 4시간마다 전혈응고시간을 측정하여 투여전의 2 ～ 3배가 되도록 조절한다.4. 피하주사이 약으로서 10,000 ～ 20,000 IU를 피하주사하고 이어서 유지량으로서 15,000 ～ 20,000 IU를 12시간마다 주사한다. 매 주사 시 혈종을 예방하기 위해 주사부위를 다르게 한다.5. 수혈 및 혈액검사수혈 시에는 보통 혈액 100 mL에 대하여 이 약으로서 400 ～ 500 IU를 사용하고, 혈액검사 시에는 혈액 20 ～ 30 mL에 대하여 100 IU를 사용한다.","차광밀봉용기, 실온보관(1~30℃)"
195,레브라이드정(레보설피리드),대한약품공업(주),한국콜마(주), 레보설피리드,"기능성소화불량으로 인한 다음 증상의 완화: 복부팽만감, 상복부불쾌감, 속쓰림, 트림, 구역, 구토",성인 : 레보설피리드로서 1회 25 mg을 1일 3회 식전에 경구투여한다.,DUR성분(성분1/성분2..병용성분)유당
196,네프리솔주,대한약품공업(주),20000121," L트레오닌, L이소류신, L리신아세트산염, L페닐알라닌, L발린, L히스티딘, L메티오닌, L류신, L트리프토판",급.만성 신부전시의 아미노산 보급,"성인 : 일반적으로 1일 250～500 mL(질소로서 1.6～3.2 g, 필수아미노산으로서 13.4～26.8 g)을 정맥 내 점적주사한다.칼로리원을 동시에 투입할 경우에는 이 약 250 mL에 70% 포도당 500 mL를 무균적으로 혼합하여 사용한다(이약 1.8%, 포도당 47%로 희석됨).투여속도 : 보통 초회는 시간 당 20～30 mL으로 하여 최고 60～100 mL이 될 때까지 24시간마다 시간 당 10 mL을 증량시키면서 투여한다.소아 : 초회 1일 총량을 적게하여 천천히 증량시키면서 1일 체중 kg 당 필수아미노산으로 1 g 이상 투여해서는 안 된다.","밀봉용기, 실온(130℃)보관"
197,국제레보설피리드(원료),국제약품(주),20000628,"첨가제 : 수소화 붕소나트륨, 에칠아세테이트, 수산화나트륨, 테트라히드로퓨란, 엘프롤린, 피바로일클로라이드, 디메칠포름아미드, 디클로로메탄, 2메톡시5설파모일벤조산, 묽은 염산, 정제수, 트리에칠아민, 요오드, 2프로판올, 탄산암모늄, 무수초산",의약품 조제 또는 제조용,의약품 조제 또는 제조용,"기밀용기, 실온보관(130℃)"
198,국제세파제돈나트륨(원료),국제약품(주),20000403,"첨가제 : 활성탄, 7아미노세팔로스포린산(7에이ㆍ씨ㆍ에이), 1,8디아자비시클로5,4,0운덱7엔, 주사용수, 아세토니트릴, 피로아황산나트륨, 7아미노세팔로스포란산, 아세톤, 세파제돈, 차아황산나트륨, 염화피발로일, 염산, 메탄올, 나트륨2에칠헥산노에이트, 피발로일클로라이드, 탄산수소나트륨, 3,5디클로로4피리돈1아세트산, 2머캅토5메칠1,3,4치아디아졸, 알루미나, 디클로로메탄, 묽은 염산, 정제수, 트리에칠아민, 2프로판올",의약품 조제 또는 제조용,의약품 조제 또는 제조용,"기밀용기, 실온보관"
199,쿨팝크림,국제약품(주),20000908," 디펜히드라민, 디부카인염산염, L멘톨, 에녹솔론, dl캄파","벌레 물린데, 피부가려움, 습진, 두드러기, 피부염, 땀띠, 동창",1일 수회 환부에 적당량을 바른다.,"기밀용기,실온보관(130℃)"
200,"레보탈정(레보설피리드)(수출명:비레보탈정, 제우디핀정)",국제약품(주),수출용:케이엠에스제약(주), 레보설피리드,"기능성소화불량으로 인한 다음 증상의 완화: 복부팽만감, 상복부불쾌감, 속쓰림, 트림, 구역, 구토",성인 : 레보설피리드로서 1회 25 mg을 1일 3회 식전에 경구투여한다.,DUR성분(성분1/성분2..병용성분)유당
201,프로파주(염산티로프라미드),국제약품(주),20000316, 염산티로프라미드,성인 : 염산티로프라미드로서 1회 100㎎ 1일 23회 경구투여한다.,"(경구 : 정제)성인 : 염산티로프라미드로서 1회 100㎎ 1일 23회 경구투여한다.연령, 증상에 따라 적절히 증감한다.(주사제)성인 : 염산티로프라미드로서 1회 50㎎(3㎖)을 근육 또는 정맥주사한다. 필요에 따라 1시간후에 반복 투여할 수 있다.연령, 증상에 따라 적절히 증감한다.",차광밀봉용기
202,국제세프미녹스주500밀리그람(세프미녹스나트륨)(수출명:멜록스주),국제약품(주),20000316, 세프미녹스나트륨,"연쇄구균(장내구균 제외), 대장균, 폐렴간균, 프로테우스, 인플루엔자균, 박테로이드"," 성인 : 세프미녹스로서 1일 2g(역가)을 2회 분할 정맥 또는 점적 정맥주사한다. 소아 : 1회 체중 Kg당 20mg(역가) 1일 3～4회 정맥 또는 점적 정맥주사한다. 패혈증, 난치성 또는 중증감염증 : 성인은 1일 6g(역가)까지 증량하여 3～4회 분할 주사한다.연령, 증상에 따라 적절히 증감한다.<이 약의 조제법>정맥주사 시는 1g(역가)당 20mL의 주사용수, 생리식염주사액, 5% 포도당 주사액에 용해하여 천천히 주사한다. 점적 정맥주사 시는 1g(역가)당 100～500mL의 당액, 전해질용액에 용해하여 1～2시간에 걸쳐 주사하되 녹일 때 주사용수는 사용하지 않는다(등장액 아님.).","밀봉용기, 실온보관(130℃)"
203,국제세프미녹스주1그램(세프미녹스나트륨)(수출명:멜록스주1그람),국제약품(주),20000316, 세프미녹스나트륨,"연쇄구균(장내구균 제외), 대장균, 폐렴간균, 프로테우스, 인플루엔자균, 박테로이드"," 성인 : 세프미녹스로서 1일 2g(역가)을 2회 분할 정맥 또는 점적 정맥주사한다. 소아 : 1회 체중 Kg당 20mg(역가) 1일 3～4회 정맥 또는 점적 정맥주사한다. 패혈증, 난치성 또는 중증감염증 : 성인은 1일 6g(역가)까지 증량하여 3～4회 분할 주사한다.연령, 증상에 따라 적절히 증감한다.<이 약의 조제법>정맥주사 시는 1g(역가)당 20mL의 주사용수, 생리식염주사액, 5% 포도당 주사액에 용해하여 천천히 주사한다. 점적 정맥주사 시는 1g(역가)당 100～500mL의 당액, 전해질용액에 용해하여 1～2시간에 걸쳐 주사하되 녹일 때 주사용수는 사용하지 않는다(등장액 아님.).","밀봉용기, 실온보관(130℃)"
204,파스틱정30밀리그램(나테글리니드),일동제약(주),전문의약품, 나테글리니드,이 약은 제 2형 당뇨병 환자의 혈당조절을 향상시키기 위해 식사요법 및 운동요법의 보조제로 투여한다.,"이 약은 매 식사전 1 ～ 30분 이내 경구투여한다.성인 : 나테글리니드로서 1회 90 mg을 1일 3회 경구투여한다.효과가 불충분한 경우에는, 경과를 충분히 관찰하면서 1회 120 mg까지 증량할 수 있다.",DUR성분(성분1/성분2..병용성분)나테글리니드
205,파스틱정90밀리그램(나테글리니드),일동제약(주),전문의약품, 나테글리니드,알파글루코시다제 저해제 또는 메트포르민 또는 티아졸리딘디온계 약물 단독요법으로 충분히 혈당조절을 할 수 없는 경우 이 약을 병용투여,"이 약은 매 식사전 1 ～ 30분 이내 경구투여한다.성인 : 나테글리니드로서 1회 90 mg을 1일 3회 경구투여한다.효과가 불충분한 경우에는, 경과를 충분히 관찰하면서 1회 120 mg까지 증량할 수 있다.",DUR성분(성분1/성분2..병용성분)나테글리니드
206,엘프라이드정(레보설피리드),일동제약(주),신풍제약(주), 레보설피리드,"기능성소화불량으로 인한 다음 증상의 완화: 복부팽만감, 상복부불쾌감, 속쓰림, 트림, 구역, 구토",성인 : 레보설피리드로서 1회 25 mg을 1일 3회 식전에 경구투여한다.,"기밀용기, 실온(130℃)보관"
207,후루케어캡슐200밀리그램(아세틸시스테인),일동제약(주),일반의약품, 아세틸시스테인,"다음 질환에서의 객담배출곤란 : 급ㆍ만성기관지염, 기관지천식, 후두염, 부비동염, 낭성섬유증",\xa0아세틸시스테인으로서 다음 용량을 식전에 소량의 물과 함께 복용한다.1. 급성질환성인 : 1회 200 mg 1일 3회소아 : 6 ～ 14세 1회 200 mg 1일 2회2. 만성질환성인 : 1회 200 mg 1일 2회소아 : 6 ～ 14세 1회 100 mg 1일 3회3. 낭성섬유증소아 : 6세 이상 1회 200 mg 1일 3회,DUR성분(성분1/성분2..병용성분)아세틸시스테인
208,일동비타민씨정1000밀리그램(아스코르브산),일동제약(주),(주)메디포럼제약, 아스코르브산,"1) 임신, 수유기 및 병중 병후의 체력저하","성인: 아스코르빈산으로서 보통 500~1000mg을 1일 1회 또는 수회 분할하여 복용한다. 충분한 양의 물과 함께 복용한다.(정제, 캡슐제에 한함) 1컵의 물에 용해한 후 복용한다(발포정에 한함) 입안에서 녹이거나 씹어서 복용한다(츄어블정에 한함)(주사제)아스코르빈산으로서 1일 50~1,000mg 을 1일 1회 ~수회 분할하여 피하, 근육 또는 정맥주사 한다.연령, 증상에 따라 적절히 증감한다.","차광기밀용기, 실온(1~30℃)보관"
209,아리코트에스크림,일동제약(주),일반의약품," 겐타마이신황산염, 베타메타손발레레이트"," 2차 감염된 알레르기성 또는 염증성 피부질환 : 습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진, 박탈피부염, 가려움, 건선",1일 1～3회 환부에 적당량을 바른다.,기밀용기. 실온(1~30℃)보관
210,케노펜플라스타(케토프로펜),일동제약(주),일반의약품, 케토프로펜,"다음 질환 및 증상의 진통ㆍ소염 : 퇴행성관절염(골관절염), 어깨관절주위염, 건ㆍ건초염, 건주위염, 상완골상과염(테니스 엘보우 등), 근육통, 외상후의 종창ㆍ동통","(경고제)(카타플라스마제)약면의 박리지를 떼어낸 후 환부에 1일 2회 부착한다.(경고제/케펜텍엘, 케토톱엘 플라스타)약면의 박리지를 떼어낸 후 환부에 1일 1회 부착한다.(겔제3%)증상에 따라 적당량을 1일 1  4회 환부에 바르고 잘 스며들도록 가볍게 문지른다.(겔제5%)증상에 따라 적당량을 1일 1  2회 환부에 바르고 잘 스며들도록 가볍게 문지른다.(연고제)(로오숀제)증상에 따라 적당량을 1일 수회 환부에 바르고 잘 스며들도록 가볍게 문지른다.",DUR성분(성분1/성분2..병용성분)케토프로펜시프로플록사신
211,훼리탑캡슐(글루콘산제이철나트륨착염),일동제약(주),일반의약품, 글루콘산제이철나트륨착염,철 결핍성 빈혈,"(캡슐제)성인 : 철로서 1회 62.5 ㎎, 1일 2회 식간에 복용한다.(액제)(볼그란액, 브러든액, 훼리탑액, 헬비디액, 레디라인액, 레드볼액, 헤모레디액, 헤모잘액, 로제파액에 한함) 성인 : 철로서 1회 62.5 ㎎, 1일 2회 식간에 복용한다. 어린이 : 1회 31.25 ㎎, 1일 2회 식간에 복용하거나, 1회 62.5㎎을 1일 1회 식간에 복용한다.(액제)(산타몬액, 동화훼리닥터액, 사니퍼액, 헤론비타액, 훼리온액, 엑스트라퍼액에 한함) 성인 : 철로서 1회 40 ㎎, 1일 2회 식간에 복용한다. 어린이 : 1회 20 ㎎, 1일 2회(액제)(훼너프액에 한함) 성인 : 철로서 1회 44.5 ㎎, 1일 2회 식간에 복용한다. 어린이 : 1회 44.5 ㎎, 1일 1회",DUR성분(성분1/성분2..병용성분)글루콘산제이철나트륨복염
212,훼리탑액(글루콘산제이철나트륨착염),일동제약(주),20000726, 글루콘산제이철나트륨복염,철 결핍성 빈혈,"(캡슐제)성인 : 철로서 1회 62.5 ㎎, 1일 2회 식간에 복용한다.\xa0(액제)(볼그란액, 브러든액, 훼리탑액, 헬비디액, 레디라인액, 레드볼액, 헤모레디액, 헤모잘액, 로제파액에 한함) 성인 : 철로서 1회 62.5 ㎎, 1일 2회 식간에 복용한다. 어린이 : 1회 31.25 ㎎, 1일 2회 식간에 복용하거나, 1회 62.5㎎을 1일 1회 식간에 복용한다.\xa0(액제)(산타몬액, 동화훼리닥터액, 사니퍼액, 헤론비타액, 훼리온액, 엑스트라퍼액에 한함) 성인 : 철로서 1회 40 ㎎, 1일 2회 식간에 복용한다. 어린이 : 1회 20 ㎎, 1일 2회\xa0(액제)(훼너프액에 한함) 성인 : 철로서 1회 44.5 ㎎, 1일 2회 식간에 복용한다. 어린이 : 1회 44.5 ㎎, 1일 1회",DUR성분(성분1/성분2..병용성분)글루콘산제이철나트륨복염
213,일동엔테로코쿠스페칼리스F100균(원료),일동제약(주),20000609,"첨가제 : 펩톤, 상수, 옥수수전분, 폴리소르베이트 80, 유당수화물, 엔테로코쿠스페칼리스균, 수산화나트륨, 인산이수소칼륨, 탄산나트륨, 피이지.피피지(20:20)공중합체, 구연산암모늄, 포도당, 인산일수소칼륨, 침강탄산칼슘, 효모추출물",의약품 조제 또는 제조용,의약품 조제 또는 제조용,"기밀용기,실온(1~30℃)보관"
214,일동락토바실루스아시도필루스틴달화립(원료),일동제약(주),20001108,"첨가제 : 상수, 백당, 유당수화물, 락토바실루스아시도필루스균, 인산이수소칼륨, 피이지.피피지(20:20)코폴리머, 황산망간, 효모추출물, 황산철, 펩톤, 옥수수전분, 무수황산마그네슘, 유청분말, 포도당, 인산일수소칼륨, 침강탄산칼슘, 초산나트륨",의약품 조제 또는 제조용,의약품 조제 또는 제조용,"밀폐용기,실온보관(1~30℃)"
215,하이렌정(건조하이페리시엑스),한올바이오파마(주),20000108, 건조하이페리시엑스, 가볍고 일시적인 우울증상의 완화,성인 : 세인트존스워트50%에탄올엑스로서 1회 250 mg씩 1일 2회 아침·저녁 식사중 또는 식후에 약간의 물과 함께 복용한다.이 약은 효과가 나타나기까지 최소 14일간 복용해야 한다.치료기간은 4 ∼ 6주가 권장된다.,"차광기밀용기, 실온(130℃)보관"
216,티로민주(티로프라미드염산염),한올바이오파마(주),20000215, 티로프라미드염산염,"간담도산통, 여러 원인에 의한 복부산통, 신장ㆍ요관 산통","성인 : 티로프라미드염산염으로서 1회 50mg (3ml)을 근육 또는 정맥 주사한다.필요에 따라 1시간 후에 반복 투여할 수 있다.연령, 증상에 따라 적절히 증감한다.","차광밀봉용기, 실온보관(130℃)"
217,셀크론연질캅셀,한올바이오파마(주),20000215," 아스코르빈산, 셀레늄함유건조효모, 크롬함유건조효모",고혈압의 저하 및 예방,성인 1일 1회 1캅셀을 복용한다.,"밀폐용기,실온보관"
218,센디펜에프주(디클로페낙베타디메칠아미노에탄올),한올바이오파마(주),20000223, 디클로페낙베타디메칠아미노에탄올,"류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 외상후ㆍ수술후 염증 및 동통, 급 성통풍, 신 및 간산통","성인 : 디클로페낙 베타디메틸아미노에탄올로서 1일 90mg을 둔부의 상부 한쪽편에 깊숙이 주사한다. 중증의 경우에는 90mg씩 1일 2회 투여할 수 있으며 이때에는 둔부 양쪽에 번갈아 한번씩 주사한다. 치료 초기 이후에는 정제 또는 좌제로 바꾸어 투여한다.연령, 질환, 증상에 따라 적절히 증감한다.이 약의 심혈관계 이상반응을 최소화하기위해 최단기간동안 최소유효용량을 사용하여야 한다.","차광기밀용기, 실온(130℃)보관"
219,바이오탑캡슐(수출명:한올바이오탑캡슐),한올바이오파마(주),일반의약품," 엔테로코쿠스페칼리스T110균, 클로스트리듐부티리쿰토아균, 바실루스메센테리쿠스토아균, 락토바실루스아시도필루스균","정장, 변비, 묽은 변, 복부팽만감, 장내이상발효",성인 1회 2캅셀씩 1일 3회 식후에 복용한다.,DUR성분(성분1/성분2..병용성분)유당
